rugosite,166
lisse,111
son,110
dir,110
corde,87
harmonique,73
grave,66
aigu,61
note,60
rond,60
vois,56
matiere,52
archet,48
bruit,47
pur,46
imagin,42
attaque,42
terme,41
mal,39
voir,38
falloir,37
jou,36
frottement,35
sens,33
truc,32
mettr,32
faire,31
cherch,30
emploi,29
bruiter,27
veut,26
vibration,26
vibr,26
petit,25
asperite,25
coup,25
battement,25
retrouv,24
joue,24
cas,24
temps,24
jeu,24
percussion,24
ecout,24
heure,23
musique,22
stable,22
essai,22
pens,22
par,22
