pas mal,29
harmoniques aigues,21
sons ronds,11
plus grave,10
plus chaud,9
pas chaud,8
attaque douce,7
grosse caisse,7
plus fort,7
equilibre spectral,6
pas fort,6
pas agressif,6
baguettes molles,6
attaque franche,6
medium grave,5
caisse claire,5
trop fort,5
plus neutre,5
trop aigu,5
plus facilement,4
plus long,4
grave medium,4
attaque dure,4
plus aigu,4
baguettes dures,4
pas ronds,4
claude delangl,4
contenu spectral,4
trop violent,3
pas parle,3
pre amp,3
faire son,3
faire ressortir,3
plus basses,3
pas joue,3
petite resonance,3
frequence fondamentale,3
trop franche,3
medium aigu,3
plus doux,3
pas necessairement,3
notes aigues,3
ecoute environnementale,3
pas homogene,3
rend compte,3
avec chaud,3
electro acoustique,3
seconde mineur,3
basses frequences,3
plus definit,3
