medium grave,4
richesse harmonique,4
harmoniques aigues,4
pas brillant,4
medium aigu,3
plus large,3
medecine chinoise,3
500 hertz,3
vraiment associe,2
plus reel,2
pas totalement,2
largeur spectrale,2
peu rond,2
tenor wagnerien,2
pas fort,2
assez riche,2
completement rond,2
attaque douce,2
notes fondamentales,2
450 hertz,2
sons chauds,2
filtre passe,2
composantes graves,2
voix plate,2
peu centre,2
bonne definition,2
sans doute,2
frequences graves,2
non vibre,2
plus enveloppant,2
pas specialement,2
grosses attaques,1
pas naturellement,1
defini heu,1
specialement grave,1
plus naturellement,1
note isolee,1
genereux vivant,1
vivant passionne,1
dynamique grave,1
peu cocooning,1
joue normalement,1
chambre large,1
tendre homogene,1
qualite supplementaire,1
dimension sensible,1
beaucoup rapport,1
variations bleues,1
voix smocky,1
sons ronds,1
